Name,Nation,Tier,Class,Battles,WN8,WR,DPG,Frags,DMG ratio,K/D,Survival,Spots
ELC EVEN 90ELC EVEN 90,france,VIII,LT,288,1001,50.00%,582,0.48,0.74,0.6,19.79%,3.3
M44M44,usa,VI,SPG,106,994,53.77%,627,0.67,3.47,1.2,44.34%,0.03
ShPTK-TVPShPTK-TVP,czech,VIII,TD,74,979,55.41%,1020,0.78,1.12,1.18,33.78%,0.36
SkorpionSkorpion,germany,VIII,TD,73,1280,57.53%,1224,0.92,1.16,1.26,27.40%,0.4
BourrasqueBourrasque,france,VIII,MT,59,1088,52.54%,1016,0.81,0.91,1,18.64%,2.59
Pz. II JPz. II J,germany,III,LT,59,1629,62.71%,533,1.1,1.32,1.63,32.20%,1.51
SMV CC-67SMV CC-67,italy,VIII,TD,49,965,46.94%,1058,0.49,1.04,0.71,30.61%,0.55
B-C 155 58B-C 155 58,france,X,SPG,35,832,45.71%,1135,0.43,3.71,0.71,40.00%,0.06
ManticoreManticore,uk,X,LT,32,157,37.50%,417,0.16,0.31,0.17,9.38%,2.91
ViperaVipera,italy,VIII,TD,27,551,48.15%,732,0.67,0.71,0.9,25.93%,0.33
M10 RBFMM10 RBFM,france,V,TD,23,1214,47.83%,608,0.91,1.43,1.11,17.39%,0.7
SU-130PMSU-130PM,ussr,VIII,TD,16,1406,68.75%,1292,0.94,1.6,1.5,37.50%,0.38
EBR 75 FL 10EBR 75 FL 10,france,VIII,LT,13,550,53.85%,428,0.23,0.45,0.23,0.00%,3.23
EBR 105EBR 105,france,X,LT,11,378,27.27%,581,0.55,0.46,0.6,9.09%,4.55
CalibanCaliban,uk,VIII,HT,9,572,44.44%,737,0.44,0.5,0.57,22.22%,1.11
Grille 15Grille 15,germany,X,TD,6,414,66.67%,652,0.83,0.41,1.25,33.33%,0.83
WZ-111WZ-111,china,VIII,HT,6,1005,16.67%,996,0.83,0.58,0.83,0.00%,1.83
T49T49,usa,IX,LT,5,177,20.00%,344,0.2,0.28,0.25,20.00%,1.6
Rhm.-B. WTRhm.-B. WT,germany,VIII,TD,5,514,60.00%,629,0.2,0.95,0.33,40.00%,0
E 25E 25,germany,VII,TD,4,1548,75.00%,1001,1,1.43,2,50.00%,2.5
VK 28.01 105VK 28.01 105,germany,VI,LT,4,863,25.00%,518,0.5,0.75,0.5,0.00%,1
Obj. 268/4Obj. 268/4,ussr,X,TD,4,818,75.00%,1263,0.5,1,1,50.00%,0
T67T67,usa,V,TD,4,2023,50.00%,831,1,1.81,1.33,25.00%,1.5
M103M103,usa,IX,HT,4,1854,50.00%,1627,1.5,0.79,1.5,0.00%,1.75
Emil IIEmil II,sweden,IX,HT,4,988,25.00%,1514,0.75,1.01,1,25.00%,0.25
M3 StuartM3 Stuart,usa,III,LT,4,846,50.00%,228,0.25,0.48,0.25,0.00%,1.75
AMX 13 57AMX 13 57,france,VII,LT,3,374,0.00%,393,0,0.44,0,0.00%,3
Super HellcatSuper Hellcat,usa,VII,TD,3,734,33.33%,727,0.33,0.91,0.33,0.00%,1.67
Firefly VCFirefly VC,uk,VI,MT,3,811,66.67%,477,1,0.57,1,0.00%,0.67
LT-432LT-432,ussr,VIII,LT,3,875,66.67%,517,0.33,0.54,0.5,33.33%,2.33
Foch BFoch B,france,X,TD,3,467,0.00%,1110,0.33,0.6,0.33,0.00%,1
ConquerorGCConquerorGC,uk,X,SPG,3,782,66.67%,962,0.67,5.45,2,66.67%,0
CC-1 Mk. 2CC-1 Mk. 2,italy,IX,TD,3,1534,66.67%,1569,1,0.77,1,0.00%,1.67
Pz. III EPz. III E,germany,III,LT,3,3231,0.00%,785,1.67,1.71,1.67,0.00%,1
leFH18B2leFH18B2,france,V,SPG,3,3421,100.00%,1319,3.33,172.13,Infinity,100.00%,0
KV-2 (R)KV-2 (R),ussr,VI,HT,2,247,0.00%,344,0.5,0.32,0.5,0.00%,3.5
Cromwell BCromwell B,uk,VI,MT,2,1027,50.00%,641,0.5,0.76,0.5,0.00%,3
TornvagnTornvagn,sweden,VIII,HT,2,1727,50.00%,1573,2,1.23,4,50.00%,0.5
Lansen CLansen C,sweden,VIII,MT,2,487,100.00%,473,1,0.43,2,50.00%,1.5
Skorpion GSkorpion G,germany,VIII,TD,2,777,50.00%,1017,0,0.88,0,0.00%,0
Kpz 07 RHKpz 07 RH,germany,VIII,MT,2,440,50.00%,499,0.5,0.74,1,50.00%,2
Pz. I CPz. I C,germany,III,LT,2,1781,50.00%,414,0,1.4,0,50.00%,2.5
T28 Prot.T28 Prot.,usa,VIII,TD,2,1265,0.00%,1624,0,1.41,0,0.00%,0.5
M8A1M8A1,usa,IV,TD,2,3483,50.00%,984,1.5,2.43,1.5,0.00%,1
KranvagnKranvagn,sweden,X,HT,2,1096,50.00%,1756,0.5,0.8,0.5,0.00%,1
M 41 90 mmM 41 90 mm,germany,VIII,LT,1,2737,0.00%,1248,1,1.13,1,0.00%,7
TL-1 LPCTL-1 LPC,usa,VIII,MT,1,1968,100.00%,1515,1,1.08,1,0.00%,0
T78T78,usa,VI,TD,1,1720,100.00%,1171,1,Infinity,Infinity,100.00%,0
Turtle ITurtle I,uk,VIII,TD,1,193,0.00%,471,1,0.34,1,0.00%,1
ISU-122SISU-122S,ussr,VII,TD,1,165,0.00%,356,1,0.41,1,0.00%,0
